datetime,close,FINAL_SCORE,SIGNAL
2026-07-03 09:44:00+05:30,6804.0,-1,SELL
2026-07-03 10:21:00+05:30,6804.0,1,BUY
2026-07-03 11:13:00+05:30,6846.5,-1,SELL
2026-07-03 11:51:00+05:30,6855.0,1,BUY
2026-07-03 13:35:00+05:30,6898.5,-1,SELL
2026-07-03 13:52:00+05:30,6906.0,1,BUY
